
[INFO] 15:56:56:160 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:160 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:160 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:161 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:161 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:161 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:161 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:162 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:162 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:162 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:162 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:163 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:163 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:164 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:164 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:164 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:164 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:164 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:164 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:164 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:168 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:168 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:168 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:168 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:169 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:169 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:169 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:169 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:169 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:169 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:169 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:169 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:169 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:169 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:170 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:170 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:170 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:170 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:170 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:170 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:170 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:170 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:170 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:170 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:170 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:170 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:170 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:170 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:170 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:170 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:170 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:170 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:172 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:172 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:172 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:172 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:172 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:172 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:172 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:173 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:173 BROKER/(7690:7701): El valor que lee es: 0.
[INFO] 15:56:56:173 BROKER/(7690:7701): El valor que lee es: 0.
